horizon_days,baseline_mae,baseline_rmse,baseline_r2,ml_mae,ml_rmse,ml_r2,mae_improvement_percent
1,0.9064,1.3949095208753044,0.5787068041839397,25.322389197991736,26.54015390020485,-151.51032331693898,-2693.7322592665196
3,1.0454857142857144,1.6243627321858518,0.268513243191594,53.010224444470765,62.307859857314575,-1075.2820639457987,-4970.39204076431
7,1.3287428571428572,2.1604130557438714,-1.3521301984760132,70.26710215304016,101.67483804060988,-5208.724409544718,-5188.239313973262
