Period,Horizon,MAE,RMSE,R2,Bias
Jan-Apr 2025,target_1d,3.339195966720581,4.856583458879957,0.4348461627960205,-0.558671236038208
Jan-Apr 2025,target_3d,3.4010391235351562,4.98812753654122,0.3859909772872925,-0.3232184946537018
Jan-Apr 2025,target_7d,3.436594009399414,5.040788032747347,0.3752759099006653,-0.2039177566766739
Jun-Aug 2025,target_1d,6.066102504730225,8.547485106623423,-1.4335753917694092,4.902114391326904
Jun-Aug 2025,target_3d,5.879035949707031,7.9352187835972545,-1.4483835697174072,4.971019744873047
Jun-Aug 2025,target_7d,6.0926194190979,7.9622000309899335,-0.4617499113082886,4.158763885498047
