period,model,target,MAE,RMSE,R2,Bias,negative_count,negative_pct,n
Jan-Apr 2025,Persistence,target_1d,2.2692052023121385,3.783903407858081,0.6569281659084734,-0.12203757225433524,0,0.0,692
Jan-Apr 2025,Persistence,target_3d,2.463381502890173,4.3012266700386785,0.543454252454002,0.0019653179190751643,0,0.0,692
Jan-Apr 2025,Persistence,target_7d,2.8827601156069362,4.863925853771073,0.41834527939792365,0.01943641618497108,0,0.0,692
Jan-Apr 2025,Rolling_Mean,target_1d,2.107213047068538,3.5728023798668413,0.6941397978939199,-0.03456647398843929,0,0.0,692
Jan-Apr 2025,Rolling_Mean,target_3d,2.2736767134599507,3.9321878988893393,0.6184353202625081,0.0894364161849711,0,0.0,692
Jan-Apr 2025,Rolling_Mean,target_7d,2.565251857968621,4.413892414046196,0.5210007295941776,0.10690751445086716,0,0.0,692
Jan-Apr 2025,HistGradientBoosting,target_1d,2.495604316144494,3.5174949182021336,0.7035360173989107,0.8781801392419982,0,0.0,692
Jan-Apr 2025,HistGradientBoosting,target_3d,2.7383096109864633,4.043829455620996,0.5964611939890601,1.3052720693656852,0,0.0,692
Jan-Apr 2025,HistGradientBoosting,target_7d,3.6880487640102433,5.121025406275691,0.3552294003358061,2.3427759837993327,0,0.0,692
Jan-Apr 2025,LSTM_V3,target_1d,1.996170652413295,3.408031974371251,0.721700579170869,-0.6707498598699423,0,0.0,692
Jan-Apr 2025,LSTM_V3,target_3d,2.118630361979769,3.759488049541958,0.6512155942856156,-0.5675287324132948,0,0.0,692
Jan-Apr 2025,LSTM_V3,target_7d,2.42834911800578,4.196453305680859,0.5670316451707338,-0.3282659039017342,0,0.0,692
Jun-Aug 2025,Persistence,target_1d,1.0709313725490195,2.2671957283367123,0.8287832825874073,0.022107843137254866,0,0.0,408
Jun-Aug 2025,Persistence,target_3d,1.5990196078431371,3.0287593719761454,0.6433097915846508,0.15514705882352942,0,0.0,408
Jun-Aug 2025,Persistence,target_7d,2.6358088235294113,4.859450692147392,0.45552087804741936,-0.6962009803921567,0,0.0,408
Jun-Aug 2025,Rolling_Mean,target_1d,2.4549299719887956,4.630906563324215,0.2856678876137769,0.7151260504201682,0,0.0,408
Jun-Aug 2025,Rolling_Mean,target_3d,2.7689565826330536,5.113533343912379,-0.016725766834714717,0.8481652661064426,0,0.0,408
Jun-Aug 2025,Rolling_Mean,target_7d,3.5838340336134458,6.328137172425169,0.07666639728780311,-0.003182773109243853,0,0.0,408
Jun-Aug 2025,HistGradientBoosting,target_1d,2.276160906906548,2.887593016872661,0.7222589308768622,1.749511480543786,0,0.0,408
Jun-Aug 2025,HistGradientBoosting,target_3d,3.6243353787880737,4.771643953565435,0.11468523689154342,3.135462369037613,0,0.0,408
Jun-Aug 2025,HistGradientBoosting,target_7d,5.324239680143549,7.2108018837744625,-0.19887526184878612,4.555377559780118,0,0.0,408
Jun-Aug 2025,LSTM_V3,target_1d,1.3498585184656866,2.352472978349522,0.8156609163060633,0.2238290021911765,0,0.0,408
Jun-Aug 2025,LSTM_V3,target_3d,1.7522583167794117,3.0340351720218277,0.6420660709952267,0.3129964572205883,0,0.0,408
Jun-Aug 2025,LSTM_V3,target_7d,2.7338648985784313,4.80017366816589,0.4687232967395396,-0.2895917679411764,0,0.0,408
