epoch,train_loss,val_loss
1,0.1826008642732187,0.03952874206006527
2,0.04273374741257147,0.03886360126946654
3,0.04068176906186206,0.03786176400525229
4,0.03844363819665581,0.03737703402127538
5,0.03789102725457144,0.03746185382562024
6,0.03782661119831427,0.037210155438099586
7,0.03753707600572637,0.036775873335344454
8,0.036814472232838624,0.037000181419508796
9,0.036614572885268516,0.03667095686708178
10,0.036685995885547794,0.03616886192134448
11,0.03630781652875074,0.03686125858553818
12,0.036368898293785465,0.03643947573644774
13,0.036413876211825215,0.03618125527032784
14,0.03626532706197436,0.03614557938916343
15,0.03603183128337824,0.03608026861080101
16,0.03566909018363661,0.03612208930509431
17,0.03544932517102201,0.03595153928867408
18,0.03543131339242895,0.03604253397456237
19,0.03569214004767305,0.036024359720093865
20,0.035469173702574866,0.03584391527942249
21,0.03550699914855356,0.03551530790116106
22,0.035257028998764414,0.03562472718102591
23,0.035653746864609134,0.03556473276444844
24,0.03545369517825942,0.03561004911150251
25,0.03508092259689597,0.03546740992793015
26,0.03492301408173019,0.03543399503188474
27,0.035167118491789766,0.0353550559175866
28,0.035396912312917125,0.035603856295347215
29,0.03476620319064792,0.03537004121712276
30,0.03516882999252727,0.03537730196756976
31,0.034889232367277145,0.03531121829790729
32,0.035061802587095105,0.03568696725581374
33,0.03416353121456754,0.03542133889028004
34,0.03482109923911004,0.03511969899492604
35,0.034410566091537476,0.035091533458658626
36,0.03464534740809721,0.035225940921476906
37,0.03401401075925536,0.03513450452259609
38,0.03473485943697791,0.035212545469403264
39,0.03406467617183696,0.03496511551950659
40,0.03360059895758866,0.035092765678252494
41,0.0341348348057452,0.035133237232054984
42,0.03422150376985091,0.03512635225696223
43,0.033898310223949776,0.03511507500495229
44,0.033955587074160576,0.0351348664611578
45,0.03402614799676506,0.035193430685571264
46,0.03362325679880517,0.03509586469403335
47,0.03364238360512803,0.0352018623479775
48,0.03381882245360895,0.03508504932480199
49,0.03340027683222567,0.035123053938150406
50,0.03413754872238363,0.03516085392662457
51,0.03348278574190522,0.03532793633639812
