dataset,target,samples,MAE,RMSE,R2
TRAIN,target_1d,16662,101.3397216796875,260.7603215838253,-0.9750063419342041
TRAIN,target_3d,16662,100.9551010131836,261.2072482962523,-0.9827884435653687
TRAIN,target_7d,16662,100.4778060913086,260.27515488421096,-0.9803584814071655
VALIDATION,target_1d,4383,42.01294708251953,46.38922246532593,-0.14702856540679932
VALIDATION,target_3d,4383,43.51469802856445,50.68026497377949,-0.3499857187271118
VALIDATION,target_7d,4383,44.85891342163086,53.44279487656638,-0.474501371383667
TEST,target_1d,1100,48.63810729980469,49.0285959686411,-61.96156311035156
TEST,target_3d,1100,48.70814514160156,49.0742422254282,-66.21729278564453
TEST,target_7d,1100,48.398101806640625,48.82831999961063,-55.906028747558594
