dataset,target,samples,MAE,RMSE,R2
TRAIN,target_1d,16662,9.846654423238506,37.39289517849337,0.9593871299724163
TRAIN,target_3d,16662,12.241795874273365,44.83859342777861,0.9415734819355275
TRAIN,target_7d,16662,15.298281504535556,54.67519495044254,0.9126105449162649
VALIDATION,target_1d,4383,9.372228414979956,30.742144697052012,0.49625770164768657
VALIDATION,target_3d,4383,11.470788761774386,36.589701911618334,0.2963297323511387
VALIDATION,target_7d,4383,12.963135165085886,37.40749352181397,0.2775895360597618
TEST,target_1d,1100,2.236184415584416,3.998068063137096,0.5813250354601092
TEST,target_3d,1100,2.457380519480519,4.407457466090727,0.45781176366543674
TEST,target_7d,1100,2.9430532467532466,5.2066690966137505,0.352954776144775
