dataset,target,samples,MAE,RMSE,R2
TRAIN,target_1d,16662,6.212701296362981,30.22166604774688,0.9734709131435297
TRAIN,target_3d,16662,10.09966060496939,41.3575014880913,0.9502933342343329
TRAIN,target_7d,16662,13.630893170087624,49.89344615460242,0.9272278251241542
VALIDATION,target_1d,4383,6.533534109057724,21.62685866561859,0.7506973018812018
VALIDATION,target_3d,4383,10.770775724389686,36.58109812233264,0.2966606188350458
VALIDATION,target_7d,4383,14.220910335386721,45.443083296660085,-0.06611091576515293
TEST,target_1d,1100,1.8247545454545455,3.303606307713381,0.714140125326697
TEST,target_3d,1100,2.1427818181818186,3.8782753430311825,0.5801916145484713
TEST,target_7d,1100,2.791163636363636,4.862266456181633,0.4357232055741912
