reservoir,degree
Anathode,7
Anayirankal,6
Banasura Sagar,7
Chenkulam,0
Erattayar,0
Idamalayar,7
Idukki,7
Kakkayam,6
Kallar,0
Kallarkutty,3
Kundala,0
Mattupetty,6
Moozhiyar,0
Pamba,0
Pambla,3
Ponmudi,0
Poringalkuthu,2
Sholayar,6
