Model,Horizon,MAE,RMSE,R2,Bias,Neg_Count,Neg_Pct
Gated V1,target_1d,2.3429455757141113,3.7646545172616275,0.6287838220596313,0.02443448081612587,0,0.0
Gated V1,target_3d,2.3538503646850586,3.8692690400982825,0.5821391344070435,0.1503540575504303,0,0.0
Gated V1,target_7d,2.7360005378723145,4.524306245174178,0.5114390850067139,0.04742228984832764,0,0.0
