Period,Horizon,MAE,RMSE,R2,Bias
Jan-Apr 2025,target_1d,2.2905449867248535,3.784498600473043,0.6568202376365662,-1.0968737602233887
Jan-Apr 2025,target_3d,2.3479459285736084,3.9571347613790406,0.6135784387588501,-0.7389611005783081
Jan-Apr 2025,target_7d,2.5663888454437256,4.323495530434208,0.5404196977615356,-0.510624885559082
Jun-Aug 2025,target_1d,2.431820869445801,3.7307557000649205,0.536380410194397,1.9262611865997314
Jun-Aug 2025,target_3d,2.3638648986816406,3.715494349615395,0.46322178840637207,1.6587021350860596
Jun-Aug 2025,target_7d,3.023674488067627,4.845908391649473,0.458551287651062,0.9939141273498535
