epoch,train_loss,val_loss,gate
1,0.37004464368025464,0.18399999704625872,0.010404429398477077
2,0.2163567820356952,0.12693619148598778,0.010971461422741413
3,0.13356232746607727,0.09324597029222383,0.011486942879855633
4,0.09772486715681022,0.08296331804659632,0.011657631024718285
5,0.08648435026407242,0.07568362893329726,0.01181190088391304
6,0.08182011192871465,0.07686992486317952,0.012004624120891094
7,0.07986565037733978,0.07525163888931274,0.012223449535667896
8,0.07912391351742877,0.0732928001218372,0.012391858734190464
9,0.07614842760894033,0.07154593533939785,0.01256329845637083
10,0.07552411914285687,0.07611058072911368,0.012710962444543839
11,0.07468811908943786,0.07579519351323445,0.012844833545386791
12,0.07396851707663801,0.07127257436513901,0.012979546561837196
13,0.0734216711587376,0.07288061040971014,0.013116708025336266
14,0.07199736674212748,0.07007272003425492,0.01325377356261015
15,0.07136482196963495,0.0746081562505828,0.013414907269179821
16,0.07303794670022196,0.07002820902400547,0.013593384996056557
17,0.07004411549617846,0.06923969131377009,0.013743464834988117
18,0.07101339298403925,0.06855700371993913,0.013887559995055199
19,0.07043930018941562,0.06835366371605131,0.014070015400648117
20,0.0689100848717822,0.06869783542222446,0.014185302890837193
21,0.06861612914750974,0.0667823917335934,0.01435574796050787
22,0.06808595700810353,0.067136795570453,0.014526593498885632
23,0.06767059872961706,0.06786115136411455,0.014701859094202518
24,0.06814720119453138,0.06692067947652605,0.014876026660203934
25,0.0661539366054866,0.06600106714500321,0.01509951613843441
26,0.06721382019006544,0.06838904197017352,0.015289604663848877
27,0.06643233500007126,0.06628485644857089,0.015474190935492516
28,0.06592006577799718,0.06637930787271923,0.01562773808836937
29,0.06658385787159204,0.0669906958937645,0.015844149515032768
30,0.06519504884878795,0.06688910639948314,0.016074523329734802
31,0.06383445548514526,0.0661589681274361,0.016277078539133072
32,0.06430232069558567,0.06680481177237299,0.016479192301630974
33,0.06397674222373301,0.06861735052532619,0.016674958169460297
34,0.06523187644779682,0.07208582841687733,0.0168769434094429
35,0.06475040699458784,0.07426833940876855,0.01707674376666546
36,0.06514459351698558,0.0662423570950826,0.017317581921815872
37,0.06329269210497539,0.07116782292723656,0.017466673627495766
