period,target,samples,MAE,RMSE,R2,Bias,negative_predictions
JAN-APR 2025,target_1d,692,2.0188119411468506,3.3569219104910326,0.729985237121582,-0.7815715074539185,0
JAN-APR 2025,target_3d,692,2.104512929916382,3.7145472266809536,0.6595044732093811,-0.6006883978843689,0
JAN-APR 2025,target_7d,692,2.396754503250122,4.118893582933914,0.582888126373291,-0.4731105864048004,0
JUN-AUG 2025,target_1d,408,1.5277632474899292,2.3780398740834254,0.8116323351860046,0.7205542922019958,0
JUN-AUG 2025,target_3d,408,2.0791001319885254,3.1697804718538625,0.609321117401123,0.7676010131835938,0
JUN-AUG 2025,target_7d,408,3.2222137451171875,5.254021875179829,0.363511323928833,-0.010086171329021454,0
