dataset,target,samples,MAE,RMSE,R2,Bias,negative_predictions
TRAIN,target_1d,16662,86.32152557373047,262.997772091324,-1.009044885635376,-1.6008244752883911,9
TRAIN,target_3d,16662,84.92903900146484,259.893893613336,-0.9628996849060059,-3.1264920234680176,2
TRAIN,target_7d,16662,82.35839080810547,251.71216821004106,-0.8521953821182251,-5.934706211090088,0
VALIDATION,target_1d,4383,5.770751476287842,19.593178383308725,0.7953791618347168,-2.0673165321350098,0
VALIDATION,target_3d,4383,8.701078414916992,31.04157348891916,0.49354732036590576,-3.390279531478882,0
VALIDATION,target_7d,4383,10.91073989868164,36.85227053724098,0.2988751530647278,-4.586763858795166,0
TEST,target_1d,1100,1.8366774320602417,3.0309564507306246,0.7593775987625122,-0.22441934049129486,0
TEST,target_3d,1100,2.0950870513916016,3.522331791713485,0.6537144780158997,-0.09317740797996521,0
TEST,target_7d,1100,2.7029247283935547,4.572915508064465,0.5008845329284668,-0.3013705611228943,0
