epoch,train_loss,val_loss
1,0.21002794290316923,0.08380340582558087
2,0.09287753758084683,0.0744562742965562
3,0.08499727210470738,0.07479282096028328
4,0.08143267692386649,0.07364613999213492
5,0.07955209555402967,0.06989658421703747
6,0.07975402261123403,0.07040822511272771
7,0.07743688772311648,0.07935880124568939
8,0.07555261086530358,0.0701313594090087
9,0.07396089908389644,0.07372247656541212
10,0.07347957733023258,0.0657855792769364
11,0.07231100944389823,0.06899690351315907
12,0.07125492302971032,0.0723997555140938
13,0.07288171689360197,0.07020938502890724
14,0.07205190853649424,0.06689496625746999
15,0.07104593435771593,0.06707975204501833
16,0.06913420597788032,0.07031978102666991
17,0.06946748125416632,0.06420301810971328
18,0.06946148990674783,0.07165367715060711
19,0.06870377950995933,0.06450582151966436
20,0.06773307527067098,0.0631315686340843
21,0.06716408574854145,0.0689595591276884
22,0.0677041866681503,0.06471234198127473
23,0.06764397263981914,0.06473030916282109
24,0.06676571065460453,0.06495642890887601
25,0.06643836962357733,0.07232484599309308
26,0.0658497416791115,0.06292239911854267
27,0.06580536704482014,0.06462590843439102
28,0.06615946481701072,0.06486003867217473
29,0.06464304607219369,0.06449762731790543
30,0.06463459641708218,0.0639495562762022
31,0.06416948768132516,0.06524079766656671
32,0.06393758270121713,0.07273548703108515
33,0.06388739860467328,0.06161160091204303
34,0.06355416783280955,0.06423582125987326
35,0.06390552410415111,0.06371137792510646
36,0.06452698715543019,0.06491970819021975
37,0.06308587486962326,0.0675215735499348
38,0.06301775890338512,0.06413881475371974
39,0.06252884190842395,0.06359722811196532
40,0.06310157779291387,0.06217839297439371
41,0.0628890861252337,0.06202710999974183
42,0.062360791190889955,0.06154788434505463
43,0.06239169656889129,0.06282090140240533
44,0.06245836225971011,0.06663252737905298
45,0.06217325441823661,0.06474320510668415
46,0.06137947007331229,0.062088478729128836
47,0.06191076127854922,0.06275741500513894
48,0.06182323279612847,0.06658883408776352
49,0.061555530193425315,0.06131571392927851
50,0.061448405233730796,0.061739348779831615
51,0.06178339044670112,0.06184065858168261
52,0.06079986284821088,0.06272748671472073
53,0.06090094587047591,0.06236468032002449
54,0.06150542384454312,0.062277439502733095
55,0.06073926696340547,0.06087846037532602
56,0.06065556384224928,0.061004061996936795
57,0.06085175144990892,0.061353307855980733
58,0.06072524551103133,0.06215374943401132
59,0.060413647954928054,0.06248814282672746
60,0.060376538177027955,0.06566549709865026
61,0.06152399996196041,0.062466468289494516
62,0.06103818565038324,0.07077717504331044
63,0.061506538218214314,0.060709009638854436
64,0.06084997440112456,0.06299561262130737
65,0.06102401512952251,0.061223610809871126
66,0.06055877033535761,0.06342524609395436
67,0.06023942508542811,0.061441785842180255
68,0.060051516579990166,0.06201080482985292
69,0.06002663954637433,0.062187076040676664
70,0.06071455170976297,0.06206299439072609
71,0.06013628069794815,0.06154568860573428
72,0.06027073669069596,0.06608930235462529
73,0.06110643345208568,0.06374579705297947
74,0.06004998269881911,0.06071337323103632
75,0.06004870830828907,0.06166056671312877
