target,V2_MAE,V3_MAE,MAE_delta,V2_RMSE,V3_RMSE,RMSE_delta,V2_R2,V3_R2,R2_delta,V3_Bias,V2_neg_preds,V3_neg_preds
target_1d,2.652930974960327,1.8366774320602417,-0.8162535429000854,3.9018479835152986,3.0309564507306246,-0.870891532784674,0.6012347936630249,0.7593775987625122,0.1581428050994873,-0.22441934049129486,66,0
target_3d,3.073476552963257,2.0950870513916016,-0.9783895015716553,4.467751771634625,3.522331791713485,-0.9454199799211405,0.4428759813308716,0.6537144780158997,0.21083849668502808,-0.09317740797996521,188,0
target_7d,3.704012393951416,2.7029247283935547,-1.0010876655578613,5.339421175328729,4.572915508064465,-0.7665056672642638,0.3195392489433288,0.5008845329284668,0.181345283985138,-0.3013705611228943,223,0
