dataset,model,target,samples,MAE_original_units,RMSE_original_units,R2
TEST,Persistence,target_1d,1100,1.8247545454545455,3.303606307713381,0.714140125326697
TEST,RollingMean,target_1d,1100,2.2361844155844155,3.998068063137096,0.5813250354601092
TEST,HistGradientBoosting,target_1d,1100,2.4142107607180505,3.297924982000498,0.7151224860721934
TEST,Persistence,target_3d,1100,2.1427818181818186,3.8782753430311825,0.5801916145484713
TEST,RollingMean,target_3d,1100,2.457380519480519,4.407457466090726,0.45781176366543674
TEST,HistGradientBoosting,target_3d,1100,3.0669446230437982,4.3280850593399975,0.477164093725014
TEST,Persistence,target_7d,1100,2.791163636363636,4.862266456181633,0.4357232055741912
TEST,RollingMean,target_7d,1100,2.9430532467532466,5.2066690966137505,0.352954776144775
TEST,HistGradientBoosting,target_7d,1100,4.294926849266964,5.9819320740030975,0.14592180306246083
