epoch,train_loss,validation_loss
1,0.43662604827999707,0.03854917784930852
2,0.07406830589119634,0.03528902797690739
3,0.07057588589590662,0.03324990661930826
4,0.06406862850726552,0.04019189693245968
5,0.05974087510814673,0.03341525130257238
6,0.05849795350712139,0.0320426556716012
7,0.057087649360867895,0.035814489295866364
8,0.05465416489060565,0.03020283300931579
9,0.05280803412028205,0.03185001186859806
10,0.05112587869017082,0.03134945859869518
11,0.049747552796250316,0.02748969168574474
12,0.05173429559575075,0.030095861205141017
13,0.050475777463671996,0.027896305091472774
14,0.04682262579088465,0.031899216032612275
15,0.04710245654259698,0.029974243343139917
16,0.048628749414576844,0.03123413301357745
17,0.0482071136228285,0.029666187327198758
18,0.04785340045984687,0.031229020549273814
19,0.047550603084229516,0.028886785285350613
20,0.04931761719683967,0.029057431896158736
21,0.043629533431256085,0.030152523713987453
22,0.04365721526595402,0.029759451026722072
23,0.04430408282141742,0.03018527533523288
