reservoir,degree
Anathode,6
Anayirankal,6
Banasura Sagar,6
Chenkulam,0
Erattayar,0
Idamalayar,6
Idukki,6
Kakkayam,0
Kallar,0
Kallarkutty,2
Kundala,0
Mattupetty,6
Moozhiyar,0
Pamba,0
Pambla,2
Ponmudi,0
Poringalkuthu,2
Sholayar,6
