reservoir,degree
Anathode,3
Anayirankal,3
Banasura Sagar,3
Chenkulam,5
Erattayar,6
Idamalayar,3
Idukki,4
Kakkayam,3
Kallar,3
Kallarkutty,4
Kundala,3
Mattupetty,3
Moozhiyar,3
Pamba,3
Pambla,7
Ponmudi,6
Poringalkuthu,5
Sholayar,5
