target,MAE,RMSE,R2,Bias,negative_count
target_1d,5.45112943649292,8.071178880921424,-0.7062809467315674,2.079787492752075,0
target_3d,5.496918678283691,8.03492931588873,-0.8019301891326904,2.2622737884521484,0
target_7d,5.432042598724365,7.89330163257694,-0.48707258701324463,2.0400760173797607,0
