dataset,target,samples,MAE,RMSE,R2
TRAIN,target_1d,16662,0.0335382815887209,0.11126226040744042,0.9876207094090269
VALIDATION,target_1d,4383,0.0343612139000281,0.11001432527628097,0.7778976894274221
TEST,target_1d,1100,0.013011217294421767,0.017773932276214332,0.7151224860721941
TRAIN,target_3d,16662,0.04700359538100174,0.13178742276534283,0.9826320752008688
VALIDATION,target_3d,4383,0.052264735622302994,0.16873601559336135,0.48505482462353045
TEST,target_3d,1100,0.016533277554062472,0.023331830325857603,0.47716409372501545
TRAIN,target_7d,16662,0.06028442980968409,0.15010438558237496,0.9774686734289377
VALIDATION,target_7d,4383,0.06876670784649522,0.20143640035851595,0.283420528367903
TEST,target_7d,1100,0.023221750083362736,0.03234302620587365,0.14592180306246272
