Horizon,MAE,RMSE,R2,Bias,Negative_Count,Negative_Percentage
target_1d,1.8366774658486364,3.030956413878581,0.7593776333143243,-0.22441935271500008,0,0.0
target_3d,2.0950871287718185,3.522331771282338,0.6537144696718091,-0.09317743122818177,0,0.0
target_7d,2.7029248726422725,4.572915467167674,0.50088449009583,-0.3013706304486364,0,0.0
