reservoir_a,reservoir_b,overlap_days,correlation,abs_correlation
Kakkayam,Pambla,862,0.6445590106542788,0.6445590106542788
Kakkayam,Ponmudi,863,0.4808732630018972,0.4808732630018972
Kakkayam,Poringalkuthu,864,0.611342609662141,0.611342609662141
Kakkayam,Sholayar,864,0.5677037086465592,0.5677037086465592
Kallar,Kallarkutty,0,,
Kallar,Kundala,0,,
Kallar,Mattupetty,0,,
Kallar,Moozhiyar,0,,
Kallar,Pamba,0,,
Kallar,Pambla,0,,
Kallar,Ponmudi,0,,
Kallar,Poringalkuthu,0,,
Kallar,Sholayar,0,,
Kallarkutty,Kundala,1218,0.17584130345739923,0.17584130345739923
Kallarkutty,Mattupetty,1217,-0.06102724523898237,0.06102724523898237
Kallarkutty,Moozhiyar,1215,0.5204347018360768,0.5204347018360768
Kallarkutty,Pamba,1215,0.4094924732375615,0.4094924732375615
Kallarkutty,Pambla,1198,0.9506777794888578,0.9506777794888578
Kallarkutty,Ponmudi,1217,0.6336834616942184,0.6336834616942184
Kallarkutty,Poringalkuthu,1218,0.8170592628830595,0.8170592628830595
Kallarkutty,Sholayar,1218,-0.09319338125108767,0.09319338125108767
Kundala,Mattupetty,1217,0.6545451806227783,0.6545451806227783
Kundala,Moozhiyar,1215,-0.39756025222699953,0.39756025222699953
Kundala,Pamba,1215,0.15412070313625745,0.15412070313625745
Kundala,Pambla,1198,0.12577715195416092,0.12577715195416092
Kundala,Ponmudi,1217,0.5773959179416146,0.5773959179416146
Kundala,Poringalkuthu,1218,0.19914948338340838,0.19914948338340838
Kundala,Sholayar,1218,0.5898035116980285,0.5898035116980285
Mattupetty,Moozhiyar,1214,-0.58745357722994,0.58745357722994
Mattupetty,Pamba,1214,0.1906637911528333,0.1906637911528333
Mattupetty,Pambla,1197,-0.07413247823357794,0.07413247823357794
Mattupetty,Ponmudi,1216,0.5552563166461778,0.5552563166461778
Mattupetty,Poringalkuthu,1217,0.024307638861432626,0.024307638861432626
Mattupetty,Sholayar,1217,0.9500537428489911,0.9500537428489911
Moozhiyar,Pamba,1213,0.10546663675541607,0.10546663675541607
Moozhiyar,Pambla,1196,0.5271421289923246,0.5271421289923246
Moozhiyar,Ponmudi,1214,-0.050188609780497724,0.050188609780497724
Moozhiyar,Poringalkuthu,1215,0.3999661971401784,0.3999661971401784
Moozhiyar,Sholayar,1215,-0.6134263272924529,0.6134263272924529
Pamba,Pambla,1196,0.4157203091705585,0.4157203091705585
Pamba,Ponmudi,1214,0.2984365930872418,0.2984365930872418
Pamba,Poringalkuthu,1216,0.3493669898540976,0.3493669898540976
Pamba,Sholayar,1215,0.22392589018926473,0.22392589018926473
Pambla,Ponmudi,1197,0.5992622379356194,0.5992622379356194
Pambla,Poringalkuthu,1198,0.8318833852280839,0.8318833852280839
Pambla,Sholayar,1198,-0.1054041895506285,0.1054041895506285
Ponmudi,Poringalkuthu,1217,0.5126257936991974,0.5126257936991974
Ponmudi,Sholayar,1217,0.514118923929578,0.514118923929578
Poringalkuthu,Sholayar,1218,0.026768522639580326,0.026768522639580326
