epoch,train_loss,val_loss
1,0.062119086664027844,0.012058309290192222
2,0.01746304998821259,0.01176964786469138
3,0.016520901220559162,0.011537713679302085
4,0.01599015680387019,0.011857779862059813
5,0.015469143049834112,0.011831153965821224
6,0.015903629110201854,0.0114371927047614
7,0.015353275665601018,0.011147693721328063
8,0.015427713504572975,0.011263385640008242
9,0.014539560418618659,0.011098268747030357
10,0.014740373438067791,0.011028942739773942
11,0.014510829115414438,0.011745347871744473
12,0.014865722297513076,0.011399888178649625
13,0.014615614841628165,0.010912435824450638
14,0.014818180903422696,0.011233422817063651
15,0.014363152650362662,0.01118843971219446
16,0.014014896611462681,0.010885673328552262
17,0.013958378588311544,0.010811473408622468
18,0.014086199954564449,0.011030606645467093
19,0.014448719125824006,0.010808174599826867
20,0.014316771931249563,0.010931904208596929
21,0.013789054610631393,0.010743739775248937
22,0.013702659620654607,0.010678521878019508
23,0.01452263051693733,0.010781528398677307
24,0.014254790778762398,0.010844508198455774
25,0.013489365588361753,0.01066201314305155
26,0.013741602714152168,0.010491672616210833
27,0.014156876533569498,0.010376267158426345
28,0.014284415216761008,0.010479477602556082
29,0.013696030535884486,0.010503875296230295
30,0.013604847438818285,0.010316915125960285
31,0.01351653917635727,0.010384602537046053
32,0.01409051482714997,0.010771539677183943
33,0.012811315117069726,0.01041336157733375
34,0.013267465735579492,0.010154462767241057
35,0.013086372019566653,0.010413084303477912
36,0.013257362938464712,0.010309193890550107
37,0.012850559243704868,0.010297724287374877
38,0.013720957651194042,0.010159833675425034
39,0.013110938384233198,0.010238020730737065
40,0.012639644591294172,0.010288675812937851
41,0.01335578625275263,0.010255911987042055
42,0.012823551716389603,0.0102822498522333
43,0.01296671704773059,0.010294256591337866
44,0.013324397201969764,0.010411128059994163
45,0.013146147297211844,0.010587270205308284
46,0.012678220889438655,0.010206536739341182
