dataset,target,samples,MAE,RMSE,R2
TRAIN,target_1d,16662,85.8327407836914,257.9373561303209,-0.932475209236145
TRAIN,target_3d,16662,85.41177368164062,257.2387175611401,-0.9229971170425415
TRAIN,target_7d,16662,84.94303131103516,255.6172294051205,-0.9101109504699707
VALIDATION,target_1d,4383,6.180671215057373,19.927926470608245,0.7883275747299194
VALIDATION,target_3d,4383,9.126070022583008,30.15197609772295,0.5221594572067261
VALIDATION,target_7d,4383,11.542584419250488,35.279675701147326,0.35743653774261475
TEST,target_1d,1100,2.652930974960327,3.9018479835152986,0.6012347936630249
TEST,target_3d,1100,3.073476552963257,4.467751771634625,0.4428759813308716
TEST,target_7d,1100,3.704012393951416,5.339421175328729,0.31953924894332886
