period,target,MAE,RMSE,R2,Bias
Jan-Apr 2025,target_1d,2.061378002166748,3.4355132864155387,0.7171942591667175,-0.9033166766166687
Jan-Apr 2025,target_3d,2.155721664428711,3.74611538909613,0.6536924839019775,-0.6647935509681702
Jan-Apr 2025,target_7d,2.4443984031677246,4.188470073329375,0.5686773657798767,-0.6461167931556702
Jun-Aug 2025,target_1d,2.225759267807007,4.15591865308673,0.4246896505355835,1.5508028268814087
Jun-Aug 2025,target_3d,2.3712778091430664,4.018884901567944,0.3719809651374817,1.4979923963546753
Jun-Aug 2025,target_7d,2.9501097202301025,4.821703742515795,0.46394670009613037,0.39708665013313293
