Model,Horizon,MAE,RMSE,R2,Bias,Negative Predictions
V1.1,target_1d,2.1223485469818115,3.7190346488682278,0.6377260684967041,0.006938531994819641,0
V1.1,target_3d,2.235673427581787,3.8495438491299865,0.5863887071609497,0.13740339875221252,0
V1.1,target_7d,2.6319713592529297,4.433905851831461,0.5307679176330566,-0.2591831386089325,0
